0,1,2,3,4,5,6,7,8,9,#
,,2,7,5,6,1,3,,4,1
9,5,8,3,1,7,10,2,4,6,1
7,3,4,9,10,6,1,8,2,5,1
3,6,1,9,10,8,4,5,2,7,1
3,5,2,9,4,8,1,6,7,10,1
7,10,3,4,1,9,6,8,5,2,1
10,2,4,1,8,9,5,6,3,7,1
1,7,2,10,3,8,6,5,9,4,1
4,5,9,8,1,7,10,6,3,2,1
8,6,1,3,5,10,2,4,9,7,1
8,2,3,1,4,7,9,6,10,5,1
5,7,4,3,9,10,2,1,6,8,1
7,5,1,9,10,2,3,6,8,4,1
9,10,4,3,5,6,1,8,2,7,1
10,6,1,7,5,3,2,9,8,4,1
8,4,7,5,1,10,9,3,2,6,1
3,4,2,10,9,7,1,8,5,6,1
6,9,3,7,2,8,1,5,10,4,1
8,7,10,6,5,4,9,1,2,3,1
,,,,,,1,,2,,1
7,4,5,1,10,8,2,9,6,3,1
,,1,3,,,,,,2,1
6,9,5,7,10,4,2,3,8,1,1
,3,1,,,,2,,,,1
6,4,8,2,1,8,7,8,3,5,1
3,10,1,7,9,8,2,4,5,6,1
6,5,3,4,9,8,1,7,2,10,1
9,4,1,8,2,5,3,6,7,10,1
6,3,1,,2,,4,5,,,1
,2,1,4,5,6,,,3,,1
