0,1,2,3,4,5,6,7,#
1,5,3,4,7,2,8,6,1
2,7,8,1,5,6,4,3,1
1,6,5,7,3,8,2,4,1
1,2,8,3,6,5,4,7,1
1,,,,,,,,1
1,8,4,6,3,2,7,5,1
4,8,7,3,5,6,2,1,1
2,2,1,3,4,6,5,3,1
1,7,4,6,3,5,2,8,1
4,5,2,8,3,6,1,7,1
3,7,4,4,2,6,1,5,1
1,7,2,5,4,3,8,6,1
2,7,6,8,5,4,1,3,1
3,5,2,8,7,4,1,6,1
1,8,5,3,4,2,6,7,1
1,8,5,7,6,4,3,2,1
3,5,5,7,4,1,2,6,1
1,7,4,6,5,3,2,8,1
1,8,4,7,2,5,3,6,1
4,8,2,7,3,5,1,6,1
2,3,1,4,1,3,2,5,1
1,2,7,6,3,,4,5,1
1,6,8,5,3,2,7,4,1
2,7,6,5,4,3,1,8,1
3,4,,,2,,1,,1
,,3,4,2,,1,,1
5,6,2,,7,3,1,4,1
