0,1,2,3,4,#
5,3,4,1,2,7
3,5,2,1,4,3
5,1,3,2,4,3
,,,,1,33
1,3,4,5,2,5
2,4,1,5,3,13
1,4,3,5,2,16
2,3,5,4,1,5
3,2,5,4,1,7
3,4,2,5,1,9
5,1,4,3,2,7
5,1,4,2,3,4
4,1,5,2,3,1
5,2,4,1,3,19
2,4,3,5,1,6
3,2,1,4,5,2
5,3,1,4,2,8
5,1,3,4,2,3
5,2,4,3,1,8
,1,,,,6
4,1,2,5,3,2
4,1,3,5,2,8
2,1,3,4,5,1
4,3,2,5,1,4
5,4,1,3,2,8
5,2,1,3,4,3
2,1,4,5,3,3
1,4,5,2,3,4
2,2,2,2,1,2
2,5,1,4,3,10
4,2,3,5,1,7
,,1,,,21
2,1,3,5,4,3
5,4,2,3,1,4
3,4,2,1,5,2
5,1,2,4,3,4
4,3,5,2,1,3
3,4,1,5,2,7
4,1,5,3,2,2
2,2,3,4,1,1
4,5,3,1,2,1
5,3,2,4,1,6
4,1,3,2,5,2
5,3,4,2,1,7
4,2,5,3,1,3
1,3,5,2,4,4
1,,,,,38
1,5,2,4,3,11
1,4,2,3,5,2
1,2,4,3,5,1
1,5,3,4,2,7
1,3,4,2,5,1
1,4,2,,3,1
2,1,5,4,3,2
1,3,5,4,2,5
,,,1,,7
1,2,,,,1
1,5,2,3,4,1
1,4,5,3,2,5
1,2,5,4,3,6
1,2,4,5,3,3
1,5,3,2,4,2
1,3,2,3,2,1
1,3,2,4,5,1
1,4,3,2,5,3
1,4,2,5,3,8
1,1,2,2,2,1
1,2,3,,,1
,,2,,1,1
1,5,4,2,3,2
4,5,3,2,1,1
1,2,3,4,5,2
3,2,4,5,1,3
2,4,5,3,1,1
2,2,3,2,1,1
3,1,4,5,2,1
4,2,5,1,3,7
3,,2,4,1,2
,2,4,1,3,1
3,2,5,1,4,1
2,3,1,4,5,2
3,5,1,4,2,3
5,4,1,2,3,1
5,2,1,4,3,1
3,5,1,2,4,1
5,3,1,2,4,1
4,3,1,5,2,13
3,4,1,,2,1
2,3,4,1,3,1
2,3,1,4,1,1
4,5,2,1,3,6
2,4,3,1,5,1
4,2,1,5,3,4
4,,1,3,2,1
,,1,,2,3
4,5,1,3,2,2
3,3,1,2,3,1
4,2,1,,3,2
2,3,1,5,4,1
4,5,1,2,3,1
4,2,1,3,5,1
1,3,,2,4,1
5,4,2,1,3,2
3,4,1,4,2,1
2,4,1,3,5,2
3,1,2,4,5,1
1,3,1,2,2,1
5,2,3,4,1,1
4,1,2,3,5,1
5,3,2,1,4,1
5,2,3,1,4,1
1,1,1,1,1,1
3,5,2,4,1,2
2,5,3,4,1,2
1,3,2,4,4,1
2,3,4,5,1,4
1,3,2,5,4,3
1,2,,3,4,1
3,5,4,2,1,1
2,3,,4,1,1
4,5,2,3,1,1
4,2,3,1,5,1
5,4,3,2,1,4
4,,3,2,1,1
3,1,5,4,2,1
,1,,3,2,1
2,,3,4,1,1
3,4,5,2,1,1
,2,,1,,1
2,,3,,1,1
2,1,3,,4,1
4,1,3,3,2,1
3,1,3,4,2,1
4,3,5,1,2,1
2,3,4,1,5,1
