0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,#
3,13,23,18,2,24,14,5,1,8,19,9,7,17,11,16,6,21,15,4,20,12,10,22,1
,,,,,,,,2,1,,,3,,4,,,,,,,,,,1
4,,10,,3,11,2,,1,,7,,,,,6,5,,,,8,,,9,1
,,,,,,,2,,,,,,,,,1,,,3,,,,,1
,,,,,,,1,2,5,,,,3,,,,,,,,,4,,1
4,,,,5,,3,1,,6,,,8,,7,,,,,2,,,,,1
2,,,,,,,,1,3,,,5,,,,,,,,,,4,,1
9,,11,,,12,,1,,3,,6,8,,5,,4,10,,7,,,2,,1
,,,,,,,2,1,,,5,,,,,,,,3,,,4,,1
,,,,,,,5,2,,,,,,,,,,,3,,1,4,,1
4,6,19,20,18,17,3,9,8,5,21,10,11,16,13,12,1,24,2,7,23,14,15,22,1
10,2,10,10,3,10,10,10,1,10,10,10,7,4,9,10,10,10,6,5,10,10,10,8,1
4,,,,,,,,,3,,5,2,,,,,,,1,,,,,1
4,,,,,,1,,,2,,,,,,,,,,5,,,3,,1
