0,1,2,3,4,5,6,7,8,9,10,#
8,7,11,3,4,2,9,1,6,5,10,1
10,9,8,5,3,2,4,6,7,1,11,1
5,11,3,2,10,1,6,9,7,4,8,1
,,,4,3,5,,,2,1,,1
2,7,5,1,7,1,4,6,3,1,2,1
8,9,6,4,5,1,11,7,3,2,10,1
8,7,6,4,2,3,11,10,5,1,9,1
9,6,8,3,7,2,10,1,5,4,11,1
6,11,9,1,8,2,5,4,7,3,10,1
5,6,4,7,1,9,3,8,11,10,2,1
,,,,,,,1,,,,1
5,1,8,3,4,3,6,2,2,9,7,1
2,8,5,4,3,1,10,9,6,7,11,1
1,9,8,7,4,3,2,10,5,11,6,1
8,7,6,2,3,4,8,5,1,1,8,1
11,8,5,2,4,3,10,7,6,1,9,1
6,2,5,8,4,7,11,1,3,9,10,1
5,7,11,10,2,1,6,4,8,9,3,1
7,2,8,4,5,3,9,1,6,10,11,1
4,,8,3,6,2,7,1,5,9,9,1
8,2,11,10,4,1,9,3,6,5,7,1
