0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,#
1,11,14,2,7,12,9,2,2,4,13,2,6,8,5,3,10,3,1,1
,,,,,,,,1,,,,,,,,,,,4
,,,,,,,,2,,,,,,,,,1,3,1
,,,,,5,,,3,4,2,,1,,,,,,,1
,,,,,,,,3,,,,,,,,,2,1,1
6,13,14,7,4,8,1,3,12,6,15,14,2,2,5,10,14,11,9,1
,,,6,,,,4,1,,,,,,7,5,,3,2,1
2,17,6,11,5,14,1,12,16,7,18,15,4,3,8,13,10,19,9,1
,,,,,3,,,,,,,,,,,,2,1,1
9,18,1,14,5,17,7,2,16,12,3,8,10,11,6,13,4,15,1,1
,,,,,,,,,,,,,,,,,,1,1
,,,,,,,3,2,,,,,,,,,4,1,1
,10,,5,,,,,4,7,9,,,8,,1,6,3,2,1
,,,,,,,,2,,,,,,,,,3,1,1
,,,,,,,,1,,,,3,,,,,2,,1
6,19,1,7,3,12,4,9,8,10,13,11,2,5,14,17,18,16,15,1
4,7,,,,6,,,2,5,,,,,,,,3,1,1
1,,,4,2,5,2,6,7,1,4,7,1,1,1,3,5,4,3,1
10,,,,5,,,3,2,,,12,6,7,4,9,11,8,1,1
,,,,,,,,2,,,,,,,,,,1,1
,,6,,,3,2,,,4,5,,1,,,,,,,1
,,,,4,1,2,,,,5,,3,,,,,,,1
,,,,,,,,1,,,,,,,,,,2,1
16,18,19,11,6,7,8,12,1,15,9,17,14,13,4,10,2,5,3,1
,,,,,1,,,3,,4,,,,,,,2,,1
,,,,,2,4,,6,,9,,1,3,5,,,8,7,1
8,11,1,6,6,10,4,3,3,9,11,1,5,5,4,1,7,2,2,1
1,,6,,1,4,1,3,5,1,,,1,1,1,,,2,2,1
11,14,2,1,7,13,10,16,4,5,19,18,8,9,6,15,17,12,3,1
,,5,,1,,,2,,4,,,,,3,,,,,1
,5,,,1,4,1,2,2,,3,,1,1,1,,,2,2,1
,,,,,6,5,7,1,,,,3,8,,,,4,2,1
4,8,9,6,3,9,5,3,2,3,7,6,4,4,3,6,6,2,1,1
9,18,,12,7,16,10,15,1,11,4,13,6,5,8,14,17,2,3,1
,,1,,5,,,,,2,,,3,4,,,,,,1
,11,,,4,6,,10,8,1,9,,3,2,,,,7,5,1
4,18,1,16,10,13,3,14,6,17,19,11,7,8,9,15,12,2,5,1
,,,,5,,,3,2,,,,6,,,,,1,4,1
,6,,,,5,,2,4,,7,,,,,,,3,1,1
,4,,,,,,,3,,,,,,,,,2,1,1
,,,10,9,11,,6,4,,7,,8,,2,,5,3,1,1
1,10,9,3,2,7,1,5,6,3,12,11,1,1,2,5,8,4,4,1
16,19,18,13,8,5,10,6,2,11,17,12,4,9,7,14,15,3,1,1
,9,,6,,,,,4,7,5,,,,,1,8,3,2,1
2,5,,,2,1,2,,,2,,,2,2,3,,,4,,1
,,,,7,,,2,1,,,,,8,6,5,,4,3,1
,,,,,1,,2,2,,,,,,,,,,3,1
2,7,6,5,3,1,3,6,4,2,3,6,2,2,3,6,5,4,6,1
,,,,,,,4,3,,,,,,,,,1,2,1
,,,,,,,,,,,,,,,1,,,1,1
