0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,#
18,20,14,16,25,1,23,4,3,12,10,8,19,17,5,11,1,13,2,24,7,15,22,9,6,21,1
,,,,,,,,,,,,,,,,1,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,2,,,1,,,,1
,1,,,,,,,,,,,,,1,,,,,,,,,,,,5
,,,,,,,,,,1,,,,,,,,,,,,,,,,1
,1,,,,,,,,,,,,,,,,,,,,,,,,,1
,1,5,5,4,,,,,,,,,3,1,,,2,,1,,,3,,2,4,1
5,1,11,17,14,20,2,9,6,12,18,10,13,16,1,11,8,15,2,3,3,7,7,4,19,9,1
,,,,,,,,,,,,,,,,,,,,,,,1,,,1
,,,,,2,,,,,,,,,,,,,,,,,,1,,,2
10,2,22,24,20,6,15,7,8,9,19,3,23,10,1,18,5,9,12,13,17,16,14,11,4,21,1
25,20,6,9,10,17,4,18,21,13,16,11,12,8,14,26,1,7,19,3,22,24,2,23,15,5,1
3,23,21,16,15,10,24,9,8,13,17,14,18,19,12,2,1,20,7,26,6,5,25,4,11,22,1
,,,,,4,,,7,2,1,,,,3,,6,,5,,,,,,,,1
,,,,,,,,,1,,,,,,,,,,,,,,,,,4
4,1,,19,18,12,,10,8,14,15,16,17,20,2,3,11,,9,,7,5,,6,13,,1
,,,,,,,1,,,,,,,,,,,,,,,,,,,15
5,,,,,2,16,1,9,13,,,,,12,6,10,,7,14,3,4,15,8,11,,1
4,,,,,,,1,2,,,,,,,6,,,7,,5,,,3,,,1
,4,,,,,3,1,,,,,,,,,,,,,,,2,,,,1
,,,,,,,1,4,,,,,,,,,,3,,,,,2,,,1
19,5,7,8,15,14,21,20,18,12,25,16,17,22,9,13,1,4,2,23,3,11,24,10,26,6,1
18,,19,16,15,7,,1,14,10,13,11,12,,8,,3,,4,,5,6,20,9,2,17,1
,,,4,,,,1,,,,5,,3,,,,,,,,,2,,,,1
1,13,8,12,9,5,6,8,1,15,16,17,14,11,19,2,7,10,6,13,4,3,4,5,20,18,1
,,,,,,,,1,,,,,,,,,,,,,,,,,,20
2,,,,,,,,1,,,,,,,,,,,,,,,,,,3
2,,,,,,,,1,,,,,,,4,,,,,,3,,,,,1
4,,,,,,,,1,,,,,,,,,,6,,2,3,,5,,,1
1,,,,,,,,1,,,,,,,,,,,,,,,,,,2
3,10,12,15,14,18,9,20,1,5,17,4,16,3,6,25,19,13,21,2,22,23,8,24,7,11,1
,,,,,,,,1,,,,,,,,,,,,2,,,,,,1
1,13,11,11,3,12,7,2,1,8,5,7,4,10,2,9,6,12,10,5,8,3,6,4,9,13,1
,,,,,,,,,,,,1,,,,,,,,,,,,,,1
,5,7,20,19,12,4,,1,15,16,17,18,9,14,,11,8,,2,10,,3,,13,6,1
23,3,5,8,9,16,2,18,1,13,12,11,10,7,14,25,17,6,19,26,20,22,24,21,15,4,1
3,20,,,,1,19,10,2,12,15,14,16,,13,4,9,,8,17,7,5,18,6,11,,1
4,24,19,17,11,18,23,8,1,16,15,20,10,14,9,12,6,21,7,26,2,3,25,5,13,22,1
,,,,,,,1,4,,,7,,,,,,,2,,3,,,5,6,,1
,,,,,,,,,,,,,,,,,,1,,,,,,,,2
2,,,6,,,,,1,3,,,,5,4,,,,,,,,,,,,1
,,,,,,,1,,,,,,,,2,,,,,,,,,,,1
13,3,18,20,,15,2,7,9,,,,,19,,14,5,6,8,17,10,12,1,11,16,4,1
3,,,,,1,,,2,,,,,,,,,,,6,,5,,4,,,1
2,5,26,18,12,15,6,19,1,20,16,10,11,13,14,22,3,8,21,7,25,23,4,24,17,9,1
17,3,20,8,18,10,24,12,14,7,4,13,6,1,5,23,11,19,26,21,15,2,22,16,9,25,1
,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,4,1,2,7,5,3,10,4,4,1,3,8,2,10,7,10,6,10,2,9,8,2,9,8,5,1
,,1,,,,,,,,,,,2,,,,,,,,,,,,3,1
,,,2,3,,,,,7,6,5,,1,,,,4,,,,,,,,,1
,,,,,,,,,,,,,1,,,,,,,,,,,,,1
2,,,,,3,,,1,,,,,,,,,,,,,,,,,,1
,12,11,,8,3,,2,1,5,6,7,,9,4,,,10,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,1,,,,,,,1
